fragment,text,statements,llm_used
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:communication_method rdfs:subClassOf :communication,
        :communications .

","communication method is a type of communication.
communication method is a type of communications.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:communications rdfs:subClassOf :human_activity .

",communications is a type of human activity.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:communications_equipment rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :communications ;
            owl:onProperty :has_human_activity ],
        :equipment .

","communications equipment is a type of equipment.
communications equipment is a type of something that only has human activity communications.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:computer_hardware rdfs:subClassOf :equipment .

",computer hardware is a type of equipment.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:confined_well rdfs:subClassOf :well .

",confined well is a type of well.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:disposal_well rdfs:subClassOf :well .

",disposal well is a type of well.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:drainage_well rdfs:subClassOf :well .

",drainage well is a type of well.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:emergency_vehicle rdfs:subClassOf :vehicle .

",emergency vehicle is a type of vehicle.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:equipment rdfs:subClassOf :infrastructure .

",equipment is a type of infrastructure.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:helicopter rdfs:subClassOf :aircraft .

",helicopter is a type of aircraft.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:infrastructure rdfs:subClassOf :material_thing .

",infrastructure is a type of material thing.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:injection_well rdfs:subClassOf :well .

",injection well is a type of well.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:internet rdfs:subClassOf :communication_method .

",internet is a type of communication method.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:jet rdfs:subClassOf :aircraft .

",jet is a type of aircraft.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:land_line rdfs:subClassOf :phone .

",land line is a type of phone.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:material_thing rdfs:subClassOf :substance .

",material thing is a type of substance.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:mobile_phone rdfs:subClassOf :phone .

",mobile phone is a type of phone.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:monitoring_well rdfs:subClassOf :well .

",monitoring well is a type of well.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:navigation rdfs:subClassOf :human_activity .

",navigation is a type of human activity.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:navigation_equipment rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :navigation ;
            owl:onProperty :has_human_activity ],
        :equipment .

","navigation equipment is a type of equipment.
navigation equipment is a type of something that only has human activity navigation.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:phone rdfs:subClassOf :communication_method,
        :communications_equipment .

","phone is a type of communication method.
phone is a type of communications equipment.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:pipeline rdfs:subClassOf :transportation_equipment .

",pipeline is a type of transportation equipment.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:pumping_well rdfs:subClassOf :well .

",pumping well is a type of well.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:radio rdfs:subClassOf :communication_method,
        :communications_equipment .

","radio is a type of communication method.
radio is a type of communications equipment.",2,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:receive rdfs:subClassOf :communication,
        :communications ;
    owl:equivalentClass :reception .

","receive is same as reception.
receive is a type of communication.
receive is a type of communications.",3,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:receiver rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :reception ;
            owl:onProperty :has_role ],
        :communications_equipment .

","receiver is a type of communications equipment.
receiver is a type of something that only has role reception.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:reception rdfs:subClassOf :communication,
        :communications .

","reception is a type of communication.
reception is a type of communications.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:recharge_well rdfs:subClassOf :well .

",recharge well is a type of well.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:rocket rdfs:subClassOf :spacecraft .

",rocket is a type of spacecraft.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:rover rdfs:subClassOf :vehicle .

",rover is a type of vehicle.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:satellite rdfs:subClassOf :spacecraft .

",satellite is a type of spacecraft.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:ship rdfs:subClassOf :vehicle .

",ship is a type of vehicle.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:signal rdfs:subClassOf :communication,
        :communications .

","signal is a type of communication.
signal is a type of communications.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:sink rdfs:subClassOf :equipment .

",sink is a type of equipment.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:space_shuttle rdfs:subClassOf :spacecraft .

",space shuttle is a type of spacecraft.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:spacecraft rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :outer_space ;
            owl:onProperty :has_realm ],
        :transportation_equipment .

","spacecraft is a type of transportation equipment.
spacecraft is a type of something that only has realm outer space.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:trailer rdfs:subClassOf :vehicle .

",trailer is a type of vehicle.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:train rdfs:subClassOf :vehicle .

",train is a type of vehicle.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:transmission rdfs:subClassOf :communication,
        :communications ;
    owl:equivalentClass :transmit .

","transmission is same as transmit.
transmission is a type of communication.
transmission is a type of communications.",3,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:transmit rdfs:subClassOf :communication,
        :communications .

","transmit is a type of communication.
transmit is a type of communications.",2,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:transmitter rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :transmission ;
            owl:onProperty :has_role ],
        :communications_equipment .

","transmitter is a type of communications equipment.
transmitter is a type of something that only has role transmission.",2,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:transportation_equipment rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :transportation ;
            owl:onProperty :has_human_activity ],
        :equipment .

","transportation equipment is a type of equipment.
transportation equipment is a type of something that only has human activity transportation.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:truck rdfs:subClassOf :vehicle .

",truck is a type of vehicle.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:unconfined_well rdfs:subClassOf :well .

",unconfined well is a type of well.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:vehicle rdfs:subClassOf :transportation_equipment .

",vehicle is a type of transportation equipment.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:well rdfs:subClassOf :equipment .

",well is a type of equipment.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:wireless rdfs:subClassOf :communication_method .

",wireless is a type of communication method.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:agricultural_production_facility rdfs:subClassOf :facility .

",agricultural production facility is a type of facility.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:air_traffic_control_center rdfs:subClassOf :airport_facility .

",air traffic control center is a type of airport facility.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:air_traffic_control_en_route_center rdfs:subClassOf :air_traffic_control_center .

",air traffic control en route center is a type of air traffic control center.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:air_traffic_control_radar_room rdfs:subClassOf :airport_facility .

",air traffic control radar room is a type of airport facility.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:air_traffic_control_tower rdfs:subClassOf :airport_facility .

",air traffic control tower is a type of airport facility.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:air_transitway rdfs:subClassOf :airport_facility .

",air transitway is a type of airport facility.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:airport rdfs:subClassOf :airport_facility .

",airport is a type of airport facility.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:airport_facility rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :air_traffic ;
            owl:onProperty :has_human_activity ],
        :facility .

","airport facility is a type of facility.
airport facility is a type of something that only has human activity air traffic.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:base rdfs:subClassOf :facility .

",base is a type of facility.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:building rdfs:subClassOf :structure .

",building is a type of structure.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:communication_facility rdfs:subClassOf :facility .

",communication facility is a type of facility.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cultural_feature rdfs:subClassOf :structure .

",cultural feature is a type of structure.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:dome rdfs:subClassOf :facility .

",dome is a type of facility.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:facility rdfs:subClassOf :structure .

",facility is a type of structure.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:farm rdfs:subClassOf :agricultural_production_facility .

",farm is a type of agricultural production facility.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:fishery rdfs:subClassOf :agricultural_production_facility .

",fishery is a type of agricultural production facility.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:habitat rdfs:subClassOf :building .

",habitat is a type of building.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:meteorological_facility rdfs:subClassOf :facility .

",meteorological facility is a type of facility.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:meteostation rdfs:subClassOf :meteorological_facility .

",meteostation is a type of meteorological facility.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:mine rdfs:subClassOf :mining_facility .

",mine is a type of mining facility.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:mining_facility rdfs:subClassOf :facility .

",mining facility is a type of facility.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:plantation rdfs:subClassOf :farm .

",plantation is a type of farm.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:platform rdfs:subClassOf :structure .

",platform is a type of structure.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:runway rdfs:subClassOf :airport_facility .

",runway is a type of airport facility.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:station rdfs:subClassOf :facility .

",station is a type of facility.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:structure rdfs:subClassOf :infrastructure .

",structure is a type of infrastructure.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:transportation_facility rdfs:subClassOf :facility .

",transportation facility is a type of facility.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:alloy rdfs:subClassOf :solution .

",alloy is a type of solution.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cement rdfs:subClassOf :mixed_chemical_substance,
        :mixture .

","cement is a type of mixed chemical substance.
cement is a type of mixture.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:colloid rdfs:subClassOf :mixed_chemical_substance,
        :mixture .

","colloid is a type of mixed chemical substance.
colloid is a type of mixture.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:forest_product rdfs:subClassOf :product .

",forest product is a type of product.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:industrial_product rdfs:subClassOf :product .

",industrial product is a type of product.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:product rdfs:subClassOf :material_thing .

",product is a type of material thing.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:slurry rdfs:subClassOf :mixed_chemical_substance,
        :mixture .

","slurry is a type of mixed chemical substance.
slurry is a type of mixture.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:supply rdfs:subClassOf :product .

",supply is a type of product.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:yield rdfs:subClassOf :product .

",yield is a type of product.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:anemometer rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :wind_speed ;
            owl:onProperty :measures ],
        :device,
        :instrument .

","anemometer is a type of device.
anemometer is a type of instrument.
anemometer is a type of something that only measures wind speed.",3,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:buoy rdfs:subClassOf :device,
        :instrument .

","buoy is a type of device.
buoy is a type of instrument.",2,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:device rdfs:subClassOf :equipment ;
    owl:equivalentClass :instrument .

","device is same as instrument.
device is a type of equipment.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:doppler_radar rdfs:subClassOf :radar .

",doppler radar is a type of radar.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:gps rdfs:subClassOf :device,
        :instrument ;
    owl:equivalentClass :global_positioning_system .

","gps is same as global positioning system.
gps is a type of device.
gps is a type of instrument.",3,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:global_positioning_system rdfs:subClassOf :device,
        :instrument .

","global positioning system is a type of device.
global positioning system is a type of instrument.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:instrument rdfs:subClassOf :equipment .

",instrument is a type of equipment.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:lidar rdfs:subClassOf :device,
        :instrument .

","lidar is a type of device.
lidar is a type of instrument.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:magnetogram rdfs:subClassOf :device,
        :instrument .

","magnetogram is a type of device.
magnetogram is a type of instrument.",2,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:manometer rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :pressure ;
            owl:onProperty :measures ],
        :device,
        :instrument .

","manometer is a type of device.
manometer is a type of instrument.
manometer is a type of something that only measures pressure.",3,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:microscope rdfs:subClassOf :optical_instrument .

",microscope is a type of optical instrument.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:optical_instrument rdfs:subClassOf :device,
        :instrument .

","optical instrument is a type of device.
optical instrument is a type of instrument.",2,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:piezometer rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :pressure ;
            owl:onProperty :measures ],
        :device,
        :instrument .

","piezometer is a type of device.
piezometer is a type of instrument.
piezometer is a type of something that only measures pressure.",3,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:radar rdfs:subClassOf :device,
        :instrument .

","radar is a type of device.
radar is a type of instrument.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:sensor rdfs:subClassOf :device,
        :instrument,
        :sensor .

","sensor is a type of device.
sensor is a type of instrument.
sensor is a type of sensor.",3,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:telescope rdfs:subClassOf :optical_instrument .

",telescope is a type of optical instrument.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:telethermometer rdfs:subClassOf :thermometer .

",telethermometer is a type of thermometer.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:tensiometer rdfs:subClassOf :device,
        :instrument .

","tensiometer is a type of device.
tensiometer is a type of instrument.",2,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:thermometer rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :temperature ;
            owl:onProperty :measures ],
        :device,
        :instrument .

","thermometer is a type of device.
thermometer is a type of instrument.
thermometer is a type of something that only measures temperature.",3,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:tide_gauge rdfs:subClassOf [ a owl:Restriction ;
            owl:allValuesFrom :ocean_tide ;
            owl:onProperty :measures ],
        :device,
        :instrument .

","tide gauge is a type of device.
tide gauge is a type of instrument.
tide gauge is a type of something that only measures ocean tide.",3,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:anion rdfs:subClassOf :ion .

",anion is a type of ion.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cation rdfs:subClassOf :ion .

",cation is a type of ion.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:heavy_ion rdfs:subClassOf :ion .

",heavy ion is a type of ion.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:ion rdfs:subClassOf [ a owl:Restriction ;
            owl:hasValue :ionized ;
            owl:onProperty :has_state ],
        :substance .

","ion is a type of substance.
ion is a type of something that must has state ionized.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:salt_ion rdfs:subClassOf :ion .

",salt ion is a type of ion.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:alpha_particle rdfs:subClassOf :energetic_particle .

",alpha particle is a type of energetic particle.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:beta_particle rdfs:subClassOf :energetic_particle .

",beta particle is a type of energetic particle.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:isotope rdfs:subClassOf :chemical_element,
        :element .

","isotope is a type of chemical element.
isotope is a type of element.",2,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:nuclide rdfs:subClassOf :radioactive_substance ;
    owl:equivalentClass :radioisotope .

","nuclide is same as radioisotope.
nuclide is a type of radioactive substance.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:radiation rdfs:subClassOf :substance .

",radiation is a type of substance.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:radioactive_substance rdfs:subClassOf [ a owl:Restriction ;
            owl:hasValue :radioactive ;
            owl:onProperty :has_state ],
        :substance .

","radioactive substance is a type of substance.
radioactive substance is a type of something that must has state radioactive.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:radiocarbon rdfs:subClassOf :radioactive_substance .

",radiocarbon is a type of radioactive substance.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:radioelement rdfs:subClassOf :chemical_element,
        :element,
        :radioactive_substance .

","radioelement is a type of chemical element.
radioelement is a type of element.
radioelement is a type of radioactive substance.",3,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:radioisotope rdfs:subClassOf :radioactive_substance ;
    owl:equivalentClass :radionuclide .

","radioisotope is same as radionuclide.
radioisotope is a type of radioactive substance.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:radionuclide rdfs:subClassOf :radioactive_substance .

",radionuclide is a type of radioactive substance.,1,False
"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:algae rdfs:subClassOf :plant ;
    owl:equivalentClass :algal .

","algae is same as algal.
algae is a type of plant.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:algal rdfs:subClassOf :plant .

",algal is a type of plant.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:amoebae rdfs:subClassOf :microbiota_taxonomy .

",amoebae is a type of microbiota taxonomy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:bacteria rdfs:subClassOf :microbiota_taxonomy .

",bacteria is a type of microbiota taxonomy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:blue_green_algae rdfs:subClassOf :algae,
        :algal .

","blue green algae is a type of algae.
blue green algae is a type of algal.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:ciliate rdfs:subClassOf :microbiota_taxonomy .

",ciliate is a type of microbiota taxonomy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:clostridium_perfringen rdfs:subClassOf :bacteria .

",clostridium perfringen is a type of bacteria.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:coccolithophore rdfs:subClassOf :microbiota_taxonomy .

",coccolithophore is a type of microbiota taxonomy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:coliform rdfs:subClassOf :bacteria .

",coliform is a type of bacteria.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:diatom rdfs:subClassOf :microbiota_taxonomy .

",diatom is a type of microbiota taxonomy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:diazotroph rdfs:subClassOf :microbiota_taxonomy .

",diazotroph is a type of microbiota taxonomy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:enterococci rdfs:subClassOf :bacteria .

",enterococci is a type of bacteria.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:escherichia_coli rdfs:subClassOf :bacteria .

",escherichia coli is a type of bacteria.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:fecal_coliform rdfs:subClassOf :coliform .

",fecal coliform is a type of coliform.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:fecal_streptococci rdfs:subClassOf :bacteria .

",fecal streptococci is a type of bacteria.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:flagellate rdfs:subClassOf :microbiota_taxonomy .

",flagellate is a type of microbiota taxonomy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:foraminifer rdfs:subClassOf :microbiota_taxonomy .

",foraminifer is a type of microbiota taxonomy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:marine_microbiota rdfs:subClassOf :marine_plant,
        :microbiota .

","marine microbiota is a type of microbiota.
marine microbiota is a type of marine plant.",2,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:microalgae rdfs:subClassOf :microbiota_taxonomy .

",microalgae is a type of microbiota taxonomy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:microbiota rdfs:subClassOf :plant .

",microbiota is a type of plant.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:microbiota_taxonomy rdfs:subClassOf :microbiota .

",microbiota taxonomy is a type of microbiota.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:microphyte rdfs:subClassOf :plant .

",microphyte is a type of plant.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:mold rdfs:subClassOf :fungi_taxonomy .

",mold is a type of fungi taxonomy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:phytoplankton rdfs:subClassOf :microbiota_taxonomy .

",phytoplankton is a type of microbiota taxonomy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:picophytoplankton rdfs:subClassOf :microbiota_taxonomy .

",picophytoplankton is a type of microbiota taxonomy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:plankton rdfs:subClassOf :microbiota_taxonomy .

",plankton is a type of microbiota taxonomy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:protist rdfs:subClassOf :microbiota_taxonomy .

",protist is a type of microbiota taxonomy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:radiolarian rdfs:subClassOf :microbiota_taxonomy .

",radiolarian is a type of microbiota taxonomy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:slime_mold rdfs:subClassOf :mold .

",slime mold is a type of mold.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:sporozoan rdfs:subClassOf :fungi_taxonomy .

",sporozoan is a type of fungi taxonomy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:yeast rdfs:subClassOf :fungi_taxonomy .

",yeast is a type of fungi taxonomy.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:abelsonite rdfs:subClassOf :mineral .

",Abelsonite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:abenakiite__ce_ rdfs:subClassOf :mineral .

",Abenakiite (Ce) is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:abernathyite rdfs:subClassOf :mineral .

",Abernathyite is a type of mineral.,1,False
"@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:abhurite rdfs:subClassOf :mineral .

",Abhurite is a type of mineral.,1,False
