ontology,root,fragment,text,llm_text,model,statements,unique_concepts,unique_relationships,total_relationships,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2002/07/owl#onProperty,http://www.w3.org/2002/07/owl#someValuesFrom,http://www.w3.org/2002/07/owl#equivalentClass,http://www.w3.org/2002/07/owl#intersectionOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://purl.obolibrary.org/obo/IAO_0000115,http://purl.org/dc/terms/conformsTo,http://www.geneontology.org/formats/oboInOwl#hasDbXref,http://www.geneontology.org/formats/oboInOwl#hasExactSynonym,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,http://www.geneontology.org/formats/oboInOwl#id,http://www.geneontology.org/formats/oboInOwl#inSubset,http://www.w3.org/2004/02/skos/core#exactMatch,http://purl.obolibrary.org/obo/RO_0002175,http://purl.obolibrary.org/obo/IAO_0000233,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://purl.obolibrary.org/obo/mondo#excluded_from_qc_check,http://www.geneontology.org/formats/oboInOwl#hasAlternativeId,http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2004/02/skos/core#closeMatch,http://purl.obolibrary.org/obo/mondo#excluded_subClassOf,http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym,https://w3id.org/semapv/vocab/crossSpeciesExactMatch,http://purl.obolibrary.org/obo/mondo#should_conform_to,http://purl.org/dc/terms/creator,http://purl.obolibrary.org/obo/IAO_0006012,http://purl.obolibrary.org/obo/IAO_0000111,http://purl.obolibrary.org/obo/IAO_0000116,http://purl.obolibrary.org/obo/IAO_0000117,http://purl.obolibrary.org/obo/IAO_0000119
mondo,http://identifiers.org/hgnc/24579,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:cib2 a owl:Class ;
    rdfs:label ""CIB2"" ;
    rdfs:subClassOf :gene .

",cib2 is a type of a gene.,CIB2 is a type of gene.,gpt-4o,1,3,3,3,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/MONDO_0035540,"@prefix ns1: <http://www.geneontology.org/formats/oboInOwl#> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix skos: <http://www.w3.org/2004/02/skos/core#> .

:pheochromocytoma_paraganglioma a owl:Class ;
    rdfs:label ""pheochromocytoma-paraganglioma"" ;
    ns1:hasDbXref ""GARD:22315"",
        ""MEDGEN:1826130"",
        ""Orphanet:573163"",
        ""UMLS:C5681712"" ;
    ns1:id ""MONDO:0035540"" ;
    ns1:inSubset :gard_rare,
        :ordo_group_of_disorders,
        :rare ;
    rdfs:subClassOf :adrenal_gland_neoplasm ;
    skos:exactMatch :1826130,
        :c5681712,
        :orphanet_573163 ;
    :has_definition ""A rare neuroendocrine tumor arising from chromaffin cells of the adrenal medulla (pheochromocytoma) or from sympathetic and parasympathetic ganglia (paraganglioma). These tumors are most often benign and may produce catecholamines in excess causing hypertension and sometimes severe acute cardiovascular complications."" .

","pheochromocytoma paraganglioma has definition a A rare neuroendocrine tumor arising from chromaffin cells of the adrenal medulla (pheochromocytoma) or from sympathetic and parasympathetic ganglia (paraganglioma). These tumors are most often benign and may produce catecholamines in excess causing hypertension and sometimes severe acute cardiovascular complications..
pheochromocytoma paraganglioma is a type of an adrenal gland neoplasm.","A pheochromocytoma paraganglioma is a rare neuroendocrine tumor that originates from chromaffin cells of the adrenal medulla, known as pheochromocytoma, or from sympathetic and parasympathetic ganglia, known as paraganglioma. These tumors are usually benign but can produce excess catecholamines, leading to hypertension and potentially severe acute cardiovascular complications. Pheochromocytoma paraganglioma is classified as a type of adrenal gland neoplasm.",gpt-4o,2,9,8,15,1,1.0,1,,,,,,,1.0,,4.0,,,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/HP_0004923,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:hyperphenylalaninemia a owl:Class ;
    rdfs:label ""Hyperphenylalaninemia"" ;
    rdfs:subClassOf :abnormal_circulating_phenylalanine_concentration .

",hyperphenylalaninemia is a type of an abnormal circulating phenylalanine concentration.,Hyperphenylalaninemia is characterized by an abnormal concentration of phenylalanine in the bloodstream.,gpt-4o,1,3,3,3,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/UBERON_0006611,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:exoskeleton a owl:Class ;
    rdfs:label ""exoskeleton"" ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :part_of ;
            owl:someValuesFrom :integumental_system ],
        :anatomical_cluster .

","exoskeleton is a type of an anatomical cluster.
exoskeleton is a type of at least part of some an integumental system.",An exoskeleton is a type of anatomical cluster and is at least part of an integumental system.,gpt-4o,2,6,5,7,2,2.0,1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/NCBITaxon_43786,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:culicomorpha a owl:Class ;
    rdfs:label ""Culicomorpha"" ;
    rdfs:subClassOf :nematocera .

",culicomorpha is a type of a nematocera.,Culicomorpha is a type of Nematocera.,gpt-4o,1,3,3,3,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/UBERON_0004404,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:distal_epiphysis_of_humerus a owl:Class ;
    rdfs:label ""distal epiphysis of humerus"" ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :part_of ;
            owl:someValuesFrom :humerus ],
        :distal_epiphysis,
        :epiphysis_of_humerus .

","distal epiphysis of humerus is a type of a distal epiphysis.
distal epiphysis of humerus is a type of an epiphysis of humerus.
distal epiphysis of humerus is a type of at least part of some a humerus.","The distal epiphysis of the humerus is a type of distal epiphysis, as well as a type of epiphysis of the humerus. It is also part of the humerus.",gpt-4o,3,7,5,8,2,3.0,1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/MONDO_0030024,"@prefix ns1: <http://www.geneontology.org/formats/oboInOwl#> .
@prefix ns2: <http://purl.obolibrary.org/obo/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix skos: <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:neurodevelopmental_disorder_with_or_without_autistic_features_and_or_structural_brain_abnormalities a owl:Class ;
    rdfs:label ""neurodevelopmental disorder with or without autistic features and/or structural brain abnormalities"" ;
    ns2:IAO_0000233 ""https://github.com/monarch-initiative/mondo/issues/3680""^^xsd:anyURI ;
    ns1:hasDbXref ""MEDGEN:1714862"",
        ""OMIM:618859"",
        ""UMLS:C5394311"" ;
    ns1:id ""MONDO:0030024"" ;
    ns1:inSubset :otar ;
    rdfs:subClassOf :mendelian_neurodevelopmental_disorder ;
    skos:exactMatch :1714862,
        :618859,
        :c5394311 ;
    :has_exact_synonym ""NEDASB"",
        ""NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT AUTISTIC FEATURES AND/OR STRUCTURAL BRAIN ABNORMALITIES"",
        ""neurodevelopmental disorder with or without autistic features and/or structural brain abnormalities"" .

","neurodevelopmental disorder with or without autistic features and or structural brain abnormalities has exact synonym a NEDASB.
neurodevelopmental disorder with or without autistic features and or structural brain abnormalities has exact synonym a NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT AUTISTIC FEATURES AND/OR STRUCTURAL BRAIN ABNORMALITIES.
neurodevelopmental disorder with or without autistic features and or structural brain abnormalities has exact synonym a neurodevelopmental disorder with or without autistic features and/or structural brain abnormalities.
neurodevelopmental disorder with or without autistic features and or structural brain abnormalities is a type of a mendelian neurodevelopmental disorder.","The term ""neurodevelopmental disorder with or without autistic features and/or structural brain abnormalities"" has exact synonyms, including ""NEDASB"" and the full phrase ""neurodevelopmental disorder with or without autistic features and/or structural brain abnormalities."" This condition is classified as a type of Mendelian neurodevelopmental disorder.",gpt-4o,4,7,9,15,1,1.0,1,,,,,,,,,3.0,3.0,,1.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/MONDO_0012579,"@prefix ns1: <http://www.geneontology.org/formats/oboInOwl#> .
@prefix ns2: <http://purl.obolibrary.org/obo/mondo#> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix skos: <http://www.w3.org/2004/02/skos/core#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:autoimmune_pulmonary_alveolar_proteinosis a owl:Class ;
    rdfs:label ""autoimmune pulmonary alveolar proteinosis"" ;
    ns2:excluded_from_qc_check :qc_omim_subsumption.sparql ;
    ns1:hasDbXref ""GARD:7499"",
        ""MEDGEN:410079"",
        ""MESH:C567049"",
        ""NANDO:1200747"",
        ""NANDO:1200748"",
        ""NORD:1633"",
        ""OMIM:610910"",
        ""Orphanet:747"",
        ""SCTID:707443007"",
        ""UMLS:C1970472"" ;
    ns1:id ""MONDO:0012579"" ;
    ns1:inSubset :gard_rare,
        :nord_rare,
        :ordo_disorder,
        :orphanet_rare,
        :rare ;
    rdfs:seeAlso ""https://rarediseases.info.nih.gov/diseases/7499/autoimmune-pulmonary-alveolar-proteinosis""^^xsd:anyURI ;
    rdfs:subClassOf :autoimmune_disease,
        :pulmonary_alveolar_proteinosis ;
    owl:equivalentClass [ a owl:Class ;
            owl:intersectionOf [ rdf:first :pulmonary_alveolar_proteinosis ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:onProperty :disease_has_basis_in_feature ;
                                    owl:someValuesFrom :autoimmunity ] ;
                            rdf:rest :nil ] ] ] ;
    skos:exactMatch :410079,
        :610910,
        :707443007,
        :c1970472,
        :c567049,
        :orphanet_747 ;
    :has_definition ""Pulmonary alveolar proteinosis (PAP) is a rare lung disease characterized by the accumulation of a lipoproteinaceous substance in the distal air spaces which positively stains with periodic acid-Schiff (PAS)."" ;
    :has_exact_synonym ""APAP"",
        ""Pulmonary Alveolar Proteinosis"",
        ""autoimmune PAP"",
        ""iPAP"",
        ""idiopathic PAP"",
        ""idiopathic pulmonary alveolar proteinosis"" ;
    :has_related_synonym ""PAP"",
        ""PAP acquired"",
        ""Pap, acquired"",
        ""acquired pulmonary alveolar proteinosis"",
        ""pulmonary alveolar lipoproteinosis acquired"",
        ""pulmonary alveolar lipoproteinosis, acquired"",
        ""pulmonary alveolar proteinosis acquired"",
        ""pulmonary alveolar proteinosis autoimmune"",
        ""pulmonary alveolar proteinosis, acquired"",
        ""pulmonary alveolar proteinosis, autoimmune"" .

","autoimmune pulmonary alveolar proteinosis has definition a Pulmonary alveolar proteinosis (PAP) is a rare lung disease characterized by the accumulation of a lipoproteinaceous substance in the distal air spaces which positively stains with periodic acid-Schiff (PAS)..
autoimmune pulmonary alveolar proteinosis has exact synonym a APAP.
autoimmune pulmonary alveolar proteinosis has exact synonym a Pulmonary Alveolar Proteinosis.
autoimmune pulmonary alveolar proteinosis has exact synonym an autoimmune PAP.
autoimmune pulmonary alveolar proteinosis has exact synonym an iPAP.
autoimmune pulmonary alveolar proteinosis has exact synonym an idiopathic PAP.
autoimmune pulmonary alveolar proteinosis has exact synonym an idiopathic pulmonary alveolar proteinosis.
autoimmune pulmonary alveolar proteinosis has related synonym a PAP acquired.
autoimmune pulmonary alveolar proteinosis has related synonym a PAP.
autoimmune pulmonary alveolar proteinosis has related synonym a Pap, acquired.
autoimmune pulmonary alveolar proteinosis has related synonym a pulmonary alveolar lipoproteinosis acquired.
autoimmune pulmonary alveolar proteinosis has related synonym a pulmonary alveolar lipoproteinosis, acquired.
autoimmune pulmonary alveolar proteinosis has related synonym a pulmonary alveolar proteinosis acquired.
autoimmune pulmonary alveolar proteinosis has related synonym a pulmonary alveolar proteinosis autoimmune.
autoimmune pulmonary alveolar proteinosis has related synonym a pulmonary alveolar proteinosis, acquired.
autoimmune pulmonary alveolar proteinosis has related synonym a pulmonary alveolar proteinosis, autoimmune.
autoimmune pulmonary alveolar proteinosis has related synonym an acquired pulmonary alveolar proteinosis.
autoimmune pulmonary alveolar proteinosis is a type of a pulmonary alveolar proteinosis.
autoimmune pulmonary alveolar proteinosis is a type of an autoimmune disease.
autoimmune pulmonary alveolar proteinosis is same as all of (a pulmonary alveolar proteinosis, and at least disease has basis in feature some an autoimmunity).","Autoimmune pulmonary alveolar proteinosis (APAP) is a rare lung disease characterized by the accumulation of a lipoproteinaceous substance in the distal air spaces, which stains positively with periodic acid-Schiff (PAS). It is also known by several exact synonyms, including APAP, Pulmonary Alveolar Proteinosis, autoimmune PAP, iPAP, idiopathic PAP, and idiopathic pulmonary alveolar proteinosis. Related synonyms include PAP acquired, PAP, Pap acquired, pulmonary alveolar lipoproteinosis acquired, pulmonary alveolar proteinosis acquired, pulmonary alveolar proteinosis autoimmune, and acquired pulmonary alveolar proteinosis. APAP is a type of pulmonary alveolar proteinosis and an autoimmune disease, specifically a pulmonary alveolar proteinosis with a basis in autoimmunity.",gpt-4o,20,20,18,55,3,2.0,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,10.0,6.0,10.0,1.0,5.0,6.0,,,1.0,1.0,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/HP_0010305,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:absence_of_the_sacrum a owl:Class ;
    rdfs:label ""Absence of the sacrum"" ;
    rdfs:subClassOf :aplasia_hypoplasia_of_the_sacrum .

",absence of the sacrum is a type of an aplasia hypoplasia of the sacrum.,The absence of the sacrum is categorized as a type of sacral aplasia or hypoplasia.,gpt-4o,1,3,3,3,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/MONDO_0014572,"@prefix ns1: <http://www.geneontology.org/formats/oboInOwl#> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix skos: <http://www.w3.org/2004/02/skos/core#> .

:lichtenstein_knorr_syndrome a owl:Class ;
    rdfs:label ""Lichtenstein-Knorr syndrome"" ;
    ns1:hasDbXref ""DOID:0080065"",
        ""GARD:17780"",
        ""MEDGEN:898996"",
        ""OMIM:616291"",
        ""Orphanet:448251"",
        ""UMLS:C4225383"" ;
    ns1:id ""MONDO:0014572"" ;
    ns1:inSubset :gard_rare,
        :nord_rare,
        :ordo_disorder,
        :orphanet_rare,
        :otar,
        :rare ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :has_material_basis_in_germline_mutation_in ;
            owl:someValuesFrom :slc9_a1 ],
        :autosomal_recessive_cerebellar_ataxia ;
    skos:exactMatch :616291,
        :898996,
        :c4225383,
        :doid_0080065,
        :orphanet_448251 ;
    :has_exact_synonym ""Lichtenstein-Knorr syndrome"",
        ""SCAR19"",
        ""autosomal recessive spinocerebellar ataxia type 19"",
        ""progressive autosomal recessive ataxia-sensorineural hearing loss syndrome"" ;
    :has_related_synonym ""LIKNS"",
        ""autosomal recessive spinocerebellar ataxia 19"",
        ""progressive autosomal recessive ataxia-deafness syndrome"",
        ""spinocerebellar ataxia, autosomal recessive 19"" .

","lichtenstein knorr syndrome has exact synonym a Lichtenstein-Knorr syndrome.
lichtenstein knorr syndrome has exact synonym a SCAR19.
lichtenstein knorr syndrome has exact synonym a progressive autosomal recessive ataxia-sensorineural hearing loss syndrome.
lichtenstein knorr syndrome has exact synonym an autosomal recessive spinocerebellar ataxia type 19.
lichtenstein knorr syndrome has related synonym a LIKNS.
lichtenstein knorr syndrome has related synonym a progressive autosomal recessive ataxia-deafness syndrome.
lichtenstein knorr syndrome has related synonym a spinocerebellar ataxia, autosomal recessive 19.
lichtenstein knorr syndrome has related synonym an autosomal recessive spinocerebellar ataxia 19.
lichtenstein knorr syndrome is a type of an autosomal recessive cerebellar ataxia.
lichtenstein knorr syndrome is a type of at least has material basis in germline mutation in some a slc9 a1.","Lichtenstein-Knorr syndrome, also known as SCAR19 or progressive autosomal recessive ataxia-sensorineural hearing loss syndrome, is a type of autosomal recessive cerebellar ataxia. It is also referred to as autosomal recessive spinocerebellar ataxia type 19. The syndrome has related synonyms like LIKNS, progressive autosomal recessive ataxia-deafness syndrome, spinocerebellar ataxia, autosomal recessive 19, and autosomal recessive spinocerebellar ataxia 19. It has a material basis in a germline mutation in the SLC9A1 gene.",gpt-4o,10,17,11,33,2,2.0,1,1.0,1.0,,,,,,,6.0,4.0,4.0,1.0,6.0,5.0,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/MONDO_0800158,"@prefix ns1: <http://www.geneontology.org/formats/oboInOwl#> .
@prefix ns2: <http://purl.obolibrary.org/obo/> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix xsd: <http://www.w3.org/2001/XMLSchema#> .

:inborn_disorder_of_glutamate_glutamine_and_aspartate_asparagine_metabolism a owl:Class ;
    rdfs:label ""inborn disorder of glutamate/glutamine and aspartate/asparagine metabolism"" ;
    ns2:IAO_0000233 ""https://github.com/monarch-initiative/mondo/issues/4985""^^xsd:anyURI ;
    ns1:id ""MONDO:0800158"" ;
    ns1:inSubset :gard_rare,
        :rare ;
    rdfs:subClassOf :inborn_disorder_of_amino_acid_metabolism ;
    :has_definition ""A disorder of amino acid metabolism that has its basis in the disruption of the metabolism of glutamate/glutamine and aspartate/asparagine."" .

","inborn disorder of glutamate glutamine and aspartate asparagine metabolism has definition a A disorder of amino acid metabolism that has its basis in the disruption of the metabolism of glutamate/glutamine and aspartate/asparagine..
inborn disorder of glutamate glutamine and aspartate asparagine metabolism is a type of an inborn disorder of amino acid metabolism.",An inborn disorder of glutamate/glutamine and aspartate/asparagine metabolism is defined as a disorder of amino acid metabolism caused by the disruption of glutamate/glutamine and aspartate/asparagine metabolism. This disorder is a specific type of inborn disorder of amino acid metabolism.,gpt-4o,2,5,7,8,1,1.0,1,,,,,,,1.0,,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/MONDO_0002278,"@prefix ns1: <http://www.geneontology.org/formats/oboInOwl#> .
@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .
@prefix skos: <http://www.w3.org/2004/02/skos/core#> .

:benign_colon_neoplasm a owl:Class ;
    rdfs:label ""benign colon neoplasm"" ;
    ns1:hasAlternativeId ""MONDO:0021466"" ;
    ns1:hasDbXref ""DOID:235"",
        ""ICD9:211.3"",
        ""MEDGEN:525"",
        ""NCIT:C2894"",
        ""SCTID:92065004"",
        ""UMLS:C0004991"" ;
    ns1:id ""MONDO:0002278"" ;
    ns1:inSubset :otar ;
    rdfs:subClassOf :benign_neoplasm_of_large_intestine,
        :colonic_neoplasm ;
    owl:equivalentClass [ a owl:Class ;
            owl:intersectionOf [ rdf:first :benign_neoplasm ;
                    rdf:rest [ rdf:first [ a owl:Restriction ;
                                    owl:onProperty :disease_has_location ;
                                    owl:someValuesFrom :colon ] ;
                            rdf:rest :nil ] ] ] ;
    skos:exactMatch :525,
        :92065004,
        :c0004991,
        :doid_235,
        :ncit_c2894 ;
    :conforms_to :benign_neoplasm.yaml ;
    :has_broad_synonym ""colon neoplasm"",
        ""colonic tumor"",
        ""colonic tumour"" ;
    :has_definition ""A non-metastasizing neoplasm arising from the wall of the colon."" ;
    :has_exact_synonym ""benign colon neoplasm"",
        ""benign colon tumor"",
        ""benign colon tumour"",
        ""benign colonic neoplasm"",
        ""benign colonic tumor"",
        ""benign colonic tumour"",
        ""benign neoplasm of colon"",
        ""benign neoplasm of the colon"",
        ""benign tumor of colon"",
        ""benign tumor of the colon"",
        ""benign tumour of colon"",
        ""benign tumour of the colon"",
        ""colon benign neoplasm"",
        ""colonic Mass"" ;
    :has_related_synonym ""colonic benign neoplasm"" .

","benign colon neoplasm conforms to a benign neoplasm.yaml.
benign colon neoplasm has broad synonym a colon neoplasm.
benign colon neoplasm has broad synonym a colonic tumor.
benign colon neoplasm has broad synonym a colonic tumour.
benign colon neoplasm has definition a A non-metastasizing neoplasm arising from the wall of the colon..
benign colon neoplasm has exact synonym a benign colon neoplasm.
benign colon neoplasm has exact synonym a benign colon tumor.
benign colon neoplasm has exact synonym a benign colon tumour.
benign colon neoplasm has exact synonym a benign colonic neoplasm.
benign colon neoplasm has exact synonym a benign colonic tumor.
benign colon neoplasm has exact synonym a benign colonic tumour.
benign colon neoplasm has exact synonym a benign neoplasm of colon.
benign colon neoplasm has exact synonym a benign neoplasm of the colon.
benign colon neoplasm has exact synonym a benign tumor of colon.
benign colon neoplasm has exact synonym a benign tumor of the colon.
benign colon neoplasm has exact synonym a benign tumour of colon.
benign colon neoplasm has exact synonym a benign tumour of the colon.
benign colon neoplasm has exact synonym a colon benign neoplasm.
benign colon neoplasm has exact synonym a colonic Mass.
benign colon neoplasm has related synonym a colonic benign neoplasm.
benign colon neoplasm is a type of a benign neoplasm of large intestine.
benign colon neoplasm is a type of a colonic neoplasm.
benign colon neoplasm is same as all of (a benign neoplasm, and at least disease has location some a colon).","A benign colon neoplasm conforms to a benign neoplasm.yaml. It is broadly synonymous with a colon neoplasm, colonic tumor, and colonic tumour. Defined as a non-metastasizing neoplasm arising from the wall of the colon, it has exact synonyms such as benign colon neoplasm, benign colon tumor, benign colon tumour, benign colonic neoplasm, benign colonic tumor, benign colonic tumour, benign neoplasm of colon, benign neoplasm of the colon, benign tumor of colon, benign tumor of the colon, benign tumour of colon, benign tumour of the colon, colon benign neoplasm, and colonic mass. Additionally, it has a related synonym, colonic benign neoplasm. This type of neoplasm is a subset of benign neoplasms of the large intestine and colonic neoplasms. It is equivalent to a benign neoplasm located in the colon.",gpt-4o,23,16,19,48,3,2.0,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,14.0,1.0,1.0,1.0,5.0,,,,,1.0,3.0,,,,,,,,,,,,
mondo,http://identifiers.org/hgnc/11909,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:tnfrsf11_b a owl:Class ;
    rdfs:label ""TNFRSF11B"" ;
    rdfs:subClassOf :gene .

",tnfrsf11 b is a type of a gene.,TNFRSF11B is a type of gene.,gpt-4o,1,3,3,3,1,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/GO_0060349,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:bone_morphogenesis a owl:Class ;
    rdfs:label ""bone morphogenesis"" ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :part_of ;
            owl:someValuesFrom :skeletal_system_morphogenesis ],
        [ a owl:Restriction ;
            owl:onProperty :part_of ;
            owl:someValuesFrom :bone_development ],
        :animal_organ_morphogenesis .

","bone morphogenesis is a type of an animal organ morphogenesis.
bone morphogenesis is a type of at least part of some a bone development.
bone morphogenesis is a type of at least part of some a skeletal system morphogenesis.",Bone morphogenesis is a type of animal organ morphogenesis and is part of bone development as well as skeletal system morphogenesis.,gpt-4o,3,7,5,11,3,3.0,1,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mondo,http://purl.obolibrary.org/obo/UBERON_0004092,"@prefix owl: <http://www.w3.org/2002/07/owl#> .
@prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#> .

:hypothalamus_pituitary_axis a owl:Class ;
    rdfs:label ""hypothalamus-pituitary axis"" ;
    rdfs:subClassOf [ a owl:Restriction ;
            owl:onProperty :part_of ;
            owl:someValuesFrom :endocrine_system ],
        [ a owl:Restriction ;
            owl:onProperty :only_in_taxon ;
            owl:someValuesFrom :chordata ],
        :anatomical_system .

","hypothalamus pituitary axis is a type of an anatomical system.
hypothalamus pituitary axis is a type of at least only in taxon some a chordata.
hypothalamus pituitary axis is a type of at least part of some an endocrine system.",The hypothalamus-pituitary axis is an anatomical system found exclusively in chordates and is a component of the endocrine system.,gpt-4o,3,8,5,11,3,3.0,1,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
